# Higgs field line profile through center
# x(nm) phi
0.000000e0 2.462200e2
2.083333e0 2.462201e2
4.166667e0 2.462201e2
6.250000e0 2.462203e2
8.333333e0 2.462208e2
1.041667e1 2.462220e2
1.250000e1 2.462244e2
1.458333e1 2.462294e2
1.666667e1 2.462393e2
1.875000e1 2.462579e2
2.083333e1 2.462911e2
2.291667e1 2.463477e2
2.500000e1 2.464397e2
2.708333e1 2.465819e2
2.916667e1 2.467908e2
3.125000e1 2.470821e2
3.333333e1 2.474668e2
3.541667e1 2.479465e2
3.750000e1 2.485092e2
3.958333e1 2.491264e2
4.166667e1 2.497532e2
4.375000e1 2.503329e2
4.583333e1 2.508043e2
4.791667e1 2.511127e2
5.000000e1 2.512200e2
5.208333e1 2.511127e2
5.416667e1 2.508043e2
5.625000e1 2.503329e2
5.833333e1 2.497532e2
6.041667e1 2.491264e2
6.250000e1 2.485092e2
6.458333e1 2.479465e2
6.666667e1 2.474668e2
6.875000e1 2.470821e2
7.083333e1 2.467908e2
7.291667e1 2.465819e2
7.500000e1 2.464397e2
7.708333e1 2.463477e2
7.916667e1 2.462911e2
8.125000e1 2.462579e2
8.333333e1 2.462393e2
8.541667e1 2.462294e2
8.750000e1 2.462244e2
8.958333e1 2.462220e2
9.166667e1 2.462208e2
9.375000e1 2.462203e2
9.583333e1 2.462201e2
9.791667e1 2.462201e2
