# Higgs field line profile through center
# x(nm) phi
0.000000e0 2.462207e2
3.125000e0 2.462214e2
6.250000e0 2.462230e2
9.375000e0 2.462261e2
1.250000e1 2.462322e2
1.562500e1 2.462439e2
1.875000e1 2.462656e2
2.187500e1 2.463050e2
2.500000e1 2.463747e2
2.812500e1 2.464945e2
3.125000e1 2.466955e2
3.437500e1 2.470237e2
3.750000e1 2.475457e2
4.062500e1 2.483541e2
4.375000e1 2.495725e2
4.687500e1 2.513595e2
5.000000e1 2.539090e2
5.312500e1 2.574457e2
5.625000e1 2.622139e2
5.937500e1 2.684579e2
6.250000e1 2.763938e2
6.562500e1 2.861743e2
6.875000e1 2.978490e2
7.187500e1 3.113260e2
7.500000e1 3.263408e2
7.812500e1 3.424404e2
8.125000e1 3.589880e2
8.437500e1 3.751939e2
8.750000e1 3.901711e2
9.062500e1 4.030124e2
9.375000e1 4.128803e2
9.687500e1 4.190968e2
1.000000e2 4.212200e2
1.031250e2 4.190968e2
1.062500e2 4.128803e2
1.093750e2 4.030124e2
1.125000e2 3.901711e2
1.156250e2 3.751939e2
1.187500e2 3.589880e2
1.218750e2 3.424404e2
1.250000e2 3.263408e2
1.281250e2 3.113260e2
1.312500e2 2.978490e2
1.343750e2 2.861743e2
1.375000e2 2.763938e2
1.406250e2 2.684579e2
1.437500e2 2.622139e2
1.468750e2 2.574457e2
1.500000e2 2.539090e2
1.531250e2 2.513595e2
1.562500e2 2.495725e2
1.593750e2 2.483541e2
1.625000e2 2.475457e2
1.656250e2 2.470237e2
1.687500e2 2.466955e2
1.718750e2 2.464945e2
1.750000e2 2.463747e2
1.781250e2 2.463050e2
1.812500e2 2.462656e2
1.843750e2 2.462439e2
1.875000e2 2.462322e2
1.906250e2 2.462261e2
1.937500e2 2.462230e2
1.968750e2 2.462214e2
