# Higgs field line profile through center
# x(nm) phi
0.000000e0 2.462200e2
3.125000e0 2.462200e2
6.250000e0 2.462200e2
9.375000e0 2.462200e2
1.250000e1 2.462200e2
1.562500e1 2.462200e2
1.875000e1 2.462201e2
2.187500e1 2.462203e2
2.500000e1 2.462209e2
2.812500e1 2.462226e2
3.125000e1 2.462269e2
3.437500e1 2.462374e2
3.750000e1 2.462625e2
4.062500e1 2.463190e2
4.375000e1 2.464410e2
4.687500e1 2.466923e2
5.000000e1 2.471865e2
5.312500e1 2.481139e2
5.625000e1 2.497737e2
5.937500e1 2.526048e2
6.250000e1 2.572042e2
6.562500e1 2.643142e2
6.875000e1 2.747604e2
7.187500e1 2.893254e2
7.500000e1 3.085581e2
7.812500e1 3.325427e2
8.125000e1 3.606783e2
8.437500e1 3.915383e2
8.750000e1 4.228821e2
9.062500e1 4.518644e2
9.375000e1 4.754338e2
9.687500e1 4.908531e2
1.000000e2 4.962200e2
1.031250e2 4.908531e2
1.062500e2 4.754338e2
1.093750e2 4.518644e2
1.125000e2 4.228821e2
1.156250e2 3.915383e2
1.187500e2 3.606783e2
1.218750e2 3.325427e2
1.250000e2 3.085581e2
1.281250e2 2.893254e2
1.312500e2 2.747604e2
1.343750e2 2.643142e2
1.375000e2 2.572042e2
1.406250e2 2.526048e2
1.437500e2 2.497737e2
1.468750e2 2.481139e2
1.500000e2 2.471865e2
1.531250e2 2.466923e2
1.562500e2 2.464410e2
1.593750e2 2.463190e2
1.625000e2 2.462625e2
1.656250e2 2.462374e2
1.687500e2 2.462269e2
1.718750e2 2.462226e2
1.750000e2 2.462209e2
1.781250e2 2.462203e2
1.812500e2 2.462201e2
1.843750e2 2.462200e2
1.875000e2 2.462200e2
1.906250e2 2.462200e2
1.937500e2 2.462200e2
1.968750e2 2.462200e2
