# Higgs field line profile through center
# x(nm) phi
0.000000e0 2.463458e2
3.125000e0 2.464258e2
6.250000e0 2.465514e2
9.375000e0 2.467455e2
1.250000e1 2.470403e2
1.562500e1 2.474806e2
1.875000e1 2.481273e2
2.187500e1 2.490609e2
2.500000e1 2.503859e2
2.812500e1 2.522341e2
3.125000e1 2.547678e2
3.437500e1 2.581805e2
3.750000e1 2.626963e2
4.062500e1 2.685652e2
4.375000e1 2.760548e2
4.687500e1 2.854371e2
5.000000e1 2.969707e2
5.312500e1 3.108781e2
5.625000e1 3.273194e2
5.937500e1 3.463644e2
6.250000e1 3.679647e2
6.562500e1 3.919293e2
6.875000e1 4.179075e2
7.187500e1 4.453810e2
7.500000e1 4.736690e2
7.812500e1 5.019478e2
8.125000e1 5.292848e2
8.437500e1 5.546866e2
8.750000e1 5.771563e2
9.062500e1 5.957584e2
9.375000e1 6.096825e2
9.687500e1 6.183017e2
1.000000e2 6.212200e2
1.031250e2 6.183017e2
1.062500e2 6.096825e2
1.093750e2 5.957584e2
1.125000e2 5.771563e2
1.156250e2 5.546866e2
1.187500e2 5.292849e2
1.218750e2 5.019478e2
1.250000e2 4.736690e2
1.281250e2 4.453810e2
1.312500e2 4.179075e2
1.343750e2 3.919293e2
1.375000e2 3.679647e2
1.406250e2 3.463644e2
1.437500e2 3.273194e2
1.468750e2 3.108781e2
1.500000e2 2.969707e2
1.531250e2 2.854371e2
1.562500e2 2.760548e2
1.593750e2 2.685652e2
1.625000e2 2.626964e2
1.656250e2 2.581805e2
1.687500e2 2.547678e2
1.718750e2 2.522341e2
1.750000e2 2.503859e2
1.781250e2 2.490609e2
1.812500e2 2.481273e2
1.843750e2 2.474806e2
1.875000e2 2.470403e2
1.906250e2 2.467455e2
1.937500e2 2.465514e2
1.968750e2 2.464258e2
